month,category,month_type,food_level,entertainment_level
8,0,1,,1.0
3,3,1,,
3,2,1,,
4,2,0,,
6,7,1,,
12,0,0,,0.0
2,8,1,,
5,3,2,,
10,6,0,,
10,3,0,,
2,1,1,0.0,
4,8,0,,
7,0,0,,1.0
12,2,0,,
4,0,0,,0.0
5,2,2,,
1,4,1,,
6,3,1,,
12,3,0,,
5,5,2,,
4,3,0,,
2,6,1,,
9,8,1,,
4,6,0,,
8,5,1,,
1,6,1,,
5,6,2,,
8,7,1,,
9,1,1,0.0,
4,1,0,1.0,
3,0,1,,0.0
11,1,0,0.0,
12,8,0,,
3,6,1,,
8,4,1,,
6,2,1,,
2,2,1,,
3,8,1,,
1,5,1,,
2,3,1,,
5,7,2,,
1,3,1,,
10,5,0,,
1,8,1,,
8,6,1,,
11,2,0,,
12,1,0,2.0,
7,1,0,2.0,
6,4,1,,
9,0,1,,1.0
6,0,1,,0.0
11,6,0,,
7,6,0,,
12,4,0,,
10,2,0,,
5,4,2,,
7,2,0,,
6,5,1,,
11,5,0,,
7,5,0,,
9,5,1,,
4,4,0,,
12,7,0,,
7,4,0,,
8,1,1,1.0,
11,0,0,,0.0
5,0,2,,1.0
4,7,0,,
11,8,0,,
1,0,1,,0.0
6,6,1,,
3,5,1,,
1,7,1,,
3,4,1,,
10,8,0,,
11,3,0,,
9,7,1,,
10,4,0,,
10,0,0,,1.0
3,7,1,,
7,8,0,,
8,3,1,,
2,4,1,,
11,7,0,,
6,8,1,,
12,5,0,,
